Coefficient,Value
C0,-1.1472222222222221
C1,0.38333333333333336
C2,-0.9555555555555556
C3,0.0
C4,-1.0444444444444445
C5,0.38333333333333336
C6,-0.8527777777777777
C7,0.0
Time Taken,0.03813624382019043
C0,-16.871074981925855
C1,11.410279651097607
C2,-2.7376241357538333
C3,0.28400043077759246
C4,-0.01077333558225798
C5,41.28110287986659
C6,-29.94069643616825
C7,7.523679527059884
C8,-0.7877503339622793
C9,0.029544047851088218
C10,-16.769693843234727
C11,11.410426211989416
C12,-2.737366576539551
C13,0.28393146094615285
C14,-0.010769024967793004
C15,41.47972174117546
C16,-30.009841860332525
C17,7.541446097819967
C18,-0.7896589200322123
C19,0.029616801716089766
Time Taken,4.855512857437134
Join at t=4s

Total time taken: 4.8936491013 seconds
