Coefficient,Value
C0,-0.9708333333333333
C1,0.0
C2,-1.1395833333333334
C3,0.3375
C4,-0.8604166666666667
C5,0.0
C6,-1.0291666666666666
C7,0.3375
Time Taken,0.06939697265625
C0,6.609233681948224
C1,-3.6270379015575736
C2,0.5412071187892425
C3,-0.023800443817798028
C4,-8.289913916491267
C5,3.741285107089278
C6,-0.503474372856759
C7,0.021746114953044158
C8,6.712379328632171
C9,-3.6238934310353046
C10,0.5408218529782612
C11,-0.023791001316630773
C12,-8.18676826980732
C13,3.7440560666894975
C14,-0.5037102342989205
C15,0.021740617017329437
Time Taken,8.62568998336792
Join at t=5s

Total time taken: 8.695086956 seconds
