Tube Coefficients,Value,a1,a2,a3
"C_x1,0",1.65,0.5,0.8,1.3813852813852814
"C_x1,1",1.8053535353535353,-0.031313131313131314,0.0,-0.3188810179719271
"C_x1,2",-0.21333333333333335,0.06666666666666667,0.0,0.058138528138528135
"C_x1,3",0.0052525252525252525,-0.00808080808080808,0.0,-0.003523547159910796
"C_x2,0",0.8,,,
"C_x2,1",-0.5509090909090909,,,
"C_x2,2",1.1854545454545455,,,
"C_x2,3",-0.16727272727272727,,,
"C_x3,0",1.6186147186147186,,,
"C_x3,1",-0.9425042634133544,,,
"C_x3,2",0.35458874458874456,,,
"C_x3,3",0.00023350386986750624,,,
