Coefficient,Value
C0,-0.9833333333333333
C1,0.0
C2,-1.1333333333333333
C3,0.2375
C4,-0.8666666666666667
C5,0.0
C6,-0.98984375
C7,0.24635416666666668
C0,14.088526003808404
C1,-7.80784037828545
C2,1.3568499957406017
C3,-0.0880986516905223
C4,0.00169347859533721
C5,29.825050223612177
C6,-19.22282335628692
C7,4.462577419322862
C8,-0.4404604387969707
C9,0.015738164145662214
C10,14.189372062688225
C11,-7.808988792914968
C12,1.3599555003012558
C13,-0.08869678431006278
C14,0.0017233852263142337
C15,30.024204164732357
C16,-19.36600372889923
C17,4.52808116296486
C18,-0.45019905098947155
C19,0.016192950180255333

OLD NON CASCADED stlcg2
join at t=5s
Time taken: 0.03667473793029785 + 36.07334113121033 = 36.110015869140625
