Coefficient,Value
C0,-0.9833333333333333
C1,0.0
C2,-1.1333333333333333
C3,0.2375
C4,-0.8666666666666667
C5,0.0
C6,-0.98984375
C7,0.24635416666666668
C0,7.896332465277774
C1,-4.228863536155201
C2,0.6259855186287474
C3,-0.027079888668430318
C4,0.0
C5,-0.37707671957671957
C6,0.10983068783068783
C7,-0.00644973544973545
C8,7.9964812748015826
C9,-4.222664241622573
C10,0.6254879436728391
C11,-0.027096202601410917
C12,0.10014880952380947
C13,-0.35049355158730156
C14,0.10793998015873016
C15,-0.006434027777777779

stlcg2 join at 5
time: 0.040997982025146484 + 0.10893893241882324 = 0.14993691444396973

C0,-1.1472222222222221
C1,0.38333333333333336
C2,-0.9555555555555556
C3,0.0
C4,-1.0444444444444445
C5,0.38333333333333336
C6,-0.8527777777777777
C7,0.0
C0,-61.56294810956789
C1,36.62989801526062
C2,-7.874080287208503
C3,0.7333475814471877
C4,-0.025013660836762684
C5,125.76654610339507
C6,-76.88066754543897
C7,16.925239090363515
C8,-1.5995227837791497
C9,0.05518497085048012
C10,-61.36433699845678
C11,36.56218968192729
C12,-7.856382756344305
C13,0.7313269024348421
C14,-0.024929092935528117
C15,125.96515721450619
C16,-76.9410692876417
C17,16.939141913264386
C18,-1.6009023705418384
C19,0.0552346558912714

stlcg1 join at 5
time: 0.07422375679016113 + 0.1899561882019043 = 0.26417994499206543
