A,1.015625 
B,1.0078125 
e,0.12379597645716195
Tube Coefficients,Value,radius
C_x,0,1.0,0.5
C_x,1,2.625,0.0
C_x,2,-0.09375,0.0
C_x,3,0.0,0.0
C_x,4,0.0
C_y,0,1.0
C_y,1,0.75
C_y,2,0.0
C_y,3,0.0078125
C_y,4,-0.00042724609375
