A,1.00390625 
B,1.0009765625 
e,0.07634172824215298
Tube Coefficients,Value,radius
C_x,0,1.0,0.5
C_x,1,-0.0029296875,0.0
C_x,2,0.2001953125,0.0
C_x,3,-0.0078125,0.0
C_x,4,0.0
C_y,0,1.0
C_y,1,-0.96875
C_y,2,0.5
C_y,3,-0.03363037109375
C_y,4,0.000629425048828125
